Date,Open,High,Low,Close,Adj Close,Volume
2014-04-15,17.90,17.92,15.15,15.35,15.35,3531700
2014-04-16,15.35,16.09,15.21,15.62,15.62,266500
2014-04-17,15.95,16.55,15.71,16.25,16.25,262100
2014-04-21,16.59,16.59,16.01,16.10,16.10,78000
2014-04-22,16.20,16.69,15.76,15.98,15.98,96100
2014-04-23,15.82,16.18,15.80,16.07,16.07,56500
2014-04-24,16.28,16.30,15.75,15.75,15.75,42800
2014-04-25,15.75,15.75,15.25,15.30,15.30,71600
2014-04-28,15.43,15.66,14.51,14.97,14.97,197500
2014-04-29,15.01,15.45,15.01,15.28,15.28,68500
2014-04-30,15.17,15.51,15.06,15.41,15.41,53600
2014-05-01,15.29,15.90,15.29,15.67,15.67,39900
2014-05-02,15.69,16.06,15.69,15.80,15.80,22300
2014-05-05,15.69,15.99,15.68,15.68,15.68,13300
2014-05-06,15.63,15.63,15.25,15.31,15.31,31900
2014-05-07,15.26,15.29,14.95,15.05,15.05,92600
2014-05-08,15.25,15.33,15.18,15.18,15.18,18600
2014-05-09,15.12,15.17,14.12,14.51,14.51,76000
2014-05-12,14.73,14.87,14.09,14.09,14.09,111200
2014-05-13,14.57,14.87,13.68,13.87,13.87,90800
2014-05-14,14.15,14.29,13.91,14.07,14.07,105600
2014-05-15,14.00,14.31,13.61,14.29,14.29,110100
2014-05-16,14.29,14.68,13.57,13.81,13.81,119700
2014-05-19,13.85,13.85,13.10,13.24,13.24,202500
2014-05-20,13.50,14.30,13.37,14.00,14.00,141100
2014-05-21,14.25,14.25,13.87,14.00,14.00,47400
2014-05-22,13.91,15.61,13.85,15.38,15.38,85300
2014-05-23,15.35,15.35,14.31,14.53,14.53,352700
2014-05-27,14.57,14.81,13.76,14.03,14.03,68100
2014-05-28,14.08,14.08,13.12,13.25,13.25,244000
2014-05-29,13.45,13.82,13.43,13.48,13.48,64600
2014-05-30,13.41,13.52,13.24,13.35,13.35,76100
2014-06-02,13.49,13.83,13.18,13.54,13.54,47600
2014-06-03,13.74,14.11,13.43,14.03,14.03,84800
2014-06-04,14.00,14.44,13.59,14.30,14.30,73700
2014-06-05,13.01,14.43,13.01,14.17,14.17,67600
2014-06-06,14.33,14.50,13.89,14.45,14.45,42500
2014-06-09,14.45,14.68,14.19,14.64,14.64,104500
2014-06-10,14.65,14.67,14.35,14.43,14.43,59700
2014-06-11,14.35,14.54,14.25,14.46,14.46,24900
2014-06-12,14.46,14.47,13.91,13.97,13.97,120500
2014-06-13,14.07,14.07,13.40,14.00,14.00,65100
2014-06-16,14.57,14.61,14.25,14.44,14.44,106800
2014-06-17,14.34,14.38,13.45,14.00,14.00,98200
2014-06-18,13.79,14.39,13.72,14.17,14.17,78400
2014-06-19,14.13,14.30,14.12,14.29,14.29,55100
2014-06-20,14.36,14.71,14.12,14.12,14.12,186900
2014-06-23,14.20,14.65,14.09,14.64,14.64,58600
2014-06-24,14.56,15.00,14.50,14.70,14.70,130300
2014-06-25,14.65,14.74,14.17,14.72,14.72,59200
2014-06-26,14.68,15.16,14.56,14.72,14.72,91900
2014-06-27,14.84,15.22,13.98,13.98,13.98,767300
2014-06-30,14.27,14.66,13.91,14.59,14.59,169500
2014-07-01,14.62,14.74,14.16,14.60,14.60,56100
2014-07-02,14.54,14.57,14.20,14.25,14.25,52400
2014-07-03,14.27,14.72,14.27,14.68,14.68,23300
2014-07-07,14.55,14.66,14.01,14.02,14.02,65800
2014-07-08,14.00,14.13,13.38,13.43,13.43,113900
2014-07-09,13.44,13.61,13.28,13.42,13.42,53600
2014-07-10,13.25,13.44,13.25,13.30,13.30,83600
2014-07-11,13.25,13.33,13.02,13.03,13.03,62700
2014-07-14,13.05,13.75,13.02,13.29,13.29,130100
2014-07-15,13.23,13.25,12.64,12.97,12.97,87000
2014-07-16,13.00,13.06,12.80,12.85,12.85,91300
2014-07-17,12.79,13.04,12.32,12.41,12.41,79200
2014-07-18,12.34,12.62,12.28,12.48,12.48,24100
2014-07-21,12.45,12.87,12.28,12.78,12.78,37800
2014-07-22,12.87,12.87,12.55,12.62,12.62,19900
2014-07-23,12.69,12.98,12.59,12.84,12.84,17700
2014-07-24,12.92,13.12,12.92,13.00,13.00,95700
2014-07-25,13.23,13.46,12.91,13.00,13.00,142500
2014-07-28,12.95,13.04,12.75,12.96,12.96,54000
2014-07-29,13.06,13.09,12.79,12.88,12.88,34700
2014-07-30,13.10,13.10,12.84,13.00,13.00,56500
2014-07-31,12.91,13.00,12.65,12.78,12.78,41600
2014-08-01,12.84,12.90,12.35,12.65,12.65,61400
2014-08-04,12.77,12.77,12.50,12.69,12.69,48900
2014-08-05,12.61,12.65,12.48,12.49,12.49,54100
2014-08-06,13.07,14.08,12.90,13.83,13.83,208300
2014-08-07,13.94,14.02,13.75,13.82,13.82,54000
2014-08-08,13.86,13.97,13.26,13.58,13.58,114200
2014-08-11,13.70,13.92,13.65,13.91,13.91,41400
2014-08-12,13.83,13.98,13.81,13.89,13.89,40900
2014-08-13,13.98,14.78,13.92,14.75,14.75,378500
2014-08-14,14.83,15.66,14.83,15.26,15.26,135400
2014-08-15,15.46,17.08,15.26,16.84,16.84,133400
2014-08-18,17.00,17.00,16.06,16.45,16.45,191200
2014-08-19,16.50,16.50,16.12,16.19,16.19,47800
2014-08-20,16.11,16.33,15.42,15.77,15.77,105300
2014-08-21,15.68,16.65,15.51,16.54,16.54,64100
2014-08-22,16.59,17.69,16.37,17.45,17.45,451400
2014-08-25,17.55,17.55,16.84,17.25,17.25,74200
2014-08-26,17.26,18.06,17.16,18.05,18.05,158200
2014-08-27,18.34,18.34,17.79,17.98,17.98,97500
2014-08-28,17.87,18.02,17.53,17.88,17.88,49500
2014-08-29,17.86,18.10,17.61,17.92,17.92,84100
2014-09-02,18.14,18.32,17.93,18.08,18.08,135900
2014-09-03,18.22,18.22,17.11,17.35,17.35,451700
2014-09-04,17.50,17.57,16.21,16.65,16.65,335700
2014-09-05,16.48,16.58,16.04,16.43,16.43,118800
2014-09-08,16.38,16.58,15.99,16.39,16.39,134000
2014-09-09,16.39,16.39,15.81,16.11,16.11,147300
2014-09-10,16.16,16.45,15.86,16.36,16.36,85500
2014-09-11,16.22,17.03,16.06,16.70,16.70,174600
2014-09-12,16.80,18.03,16.80,17.74,17.74,278600
2014-09-15,17.83,17.92,16.50,17.16,17.16,196000
2014-09-16,17.16,18.13,16.85,17.89,17.89,252500
2014-09-17,17.98,18.04,17.53,17.73,17.73,95200
2014-09-18,17.80,18.19,17.03,18.05,18.05,188800
2014-09-19,18.08,19.24,17.46,18.99,18.99,561600
2014-09-22,18.85,19.14,17.54,18.28,18.28,398800
2014-09-23,18.29,18.77,17.90,18.30,18.30,307900
2014-09-24,18.50,18.59,17.67,18.42,18.42,187200
2014-09-25,18.31,18.31,16.82,16.99,16.99,109500
2014-09-26,17.00,17.51,17.00,17.22,17.22,68900
2014-09-29,17.10,17.22,16.80,16.91,16.91,150400
2014-09-30,16.95,17.03,16.31,16.56,16.56,188700
2014-10-01,16.21,16.62,16.00,16.10,16.10,149200
2014-10-02,16.02,16.33,15.74,16.30,16.30,140900
2014-10-03,16.48,16.83,16.40,16.57,16.57,91600
2014-10-06,16.63,16.64,16.01,16.15,16.15,62600
2014-10-07,16.00,16.11,15.47,15.76,15.76,171600
2014-10-08,15.70,15.93,15.59,15.68,15.68,112400
2014-10-09,15.64,15.68,14.32,14.88,14.88,238400
2014-10-10,14.75,15.59,14.68,14.88,14.88,194500
2014-10-13,14.95,15.22,14.79,14.98,14.98,283900
2014-10-14,15.08,15.40,14.87,15.04,15.04,216400
2014-10-15,15.05,16.35,14.85,16.26,16.26,258200
2014-10-16,16.05,16.79,16.00,16.76,16.76,100600
2014-10-17,17.02,17.02,16.39,16.43,16.43,48600
2014-10-20,16.33,16.44,16.17,16.34,16.34,37100
2014-10-21,16.22,16.82,16.22,16.67,16.67,118400
2014-10-22,16.67,16.74,16.38,16.48,16.48,71400
2014-10-23,16.55,16.89,16.38,16.53,16.53,68700
2014-10-24,16.60,16.65,16.32,16.51,16.51,39600
2014-10-27,16.47,16.80,16.34,16.57,16.57,46900
2014-10-28,16.60,17.32,16.60,16.91,16.91,97700
2014-10-29,16.95,17.13,16.68,16.77,16.77,65900
2014-10-30,16.79,17.47,16.74,17.43,17.43,94200
2014-10-31,17.80,17.88,17.54,17.75,17.75,55600
2014-11-03,17.82,17.92,17.60,17.68,17.68,49800
2014-11-04,17.68,18.08,17.58,17.73,17.73,145500
2014-11-05,18.62,22.11,18.62,21.15,21.15,677800
2014-11-06,21.26,22.49,21.00,21.59,21.59,253000
2014-11-07,21.52,21.65,21.09,21.42,21.42,133300
